ID;Nom
5992;Marque Repère
573030;3D's
474982;Ancel
762726;Apérifruits
444774;Belin
474470;Benenuts
37735;Bio Village
615782;Bjorg
506982;Chipster
16999;Couleurs Vives
534886;Crespo
679014;Curly
441190;Delacre
796262;Doritos
8808;Dr.Oetker
2407;Eco +
89145190;Il était un légume
672358;Jardin Bio
572774;Lay's
723814;Lorina
674662;Menguy's
6763878;Michel et Augustin
679270;Monster Munch
1383;Nos régions ont du talent
466790;Old El Paso
7783;Pom' lisse
435814;Pringles
6503;Rustica
25447;Tables du Monde
860262;Tanoshi
575334;Tipiak
13671;Tokapi
447590;Tramier
479078;Tuc
27785062;Tyrrell's
2920;Vico
712294;Arbre Vert
737382;Capri Sun
34997862;Fairy
510822;Finish
512358;Maison Verte
583782;Mir
446566;Paic
738918;Rainett
31847;Uni Vert
24167;Visior
580966;Céréal Bio
45927;Chaque jour sans Gluten
491366;Cracotte
12903;Epi d'Or
18536;HARRYS
445030;Heudebert
479590;Jacquet
783462;Krisprolls
663142;La Boulangère
2664;LU
16232;Pasquier
468070;Pelletier
785254;Wasa
14951;Comptoir du grain
11111;Côté Table
3944;Ferrero
818022;Florelli
4000870;Garofalo
441446;Lustucru
1895;Notre Jardin
493158;Régia
791910;Sacla
447846;Taureau Aile
817766;Toscoro
51303;Tradizioni d'Italia
497766;Vivien Paille
577382;Weight  Watchers
729190;Alter Eco
798822;Carapelli
437350;Cauvin
441702;D'Aucy
664934;Del Monte
574054;Ducros
457062;Heinz
442726;Knorr
666214;La Potagère
8552;Maggi
13320038;Paul et Louise
5058406;Rochefontaine
3342182;Soléou
500326;Bonne maman
435302;Brossard
32324198;Doowap
636262;Ker Cadelac
725350;La fournée dorée
637542;Le Ster
11899494;Les 3 Meuniers
4711;P'tit déli
633702;Pitch
471654;St Michel
432486;Whaou !
60007;Côté Croc
693862;Douce France
22253158;la Nouvelle Agriculture
627814;Le Gaulois
628070;Loué
432742;Maitre Coq
841574;Nature de France
446054;Père Dodu
46183;Saint Charmin
836966;Volaille Française
62055;Volandrie
30567;Volandry
