ID;Nom;IDCat;Qtt;Lien;Marque;BIO;Nutriscore
20138;Chips Pom'Lisse Nature;284447;200g;20138.jpg;Pom' lisse;0;B
20447;Chips Pom'lisse Nature;284447;350g;20447.jpg;Pom' lisse;0;B
2973;Chips Pom'Lisse Barbecue;284447;135g;2973.jpg;Pom' lisse;0;C
1902;Chips à l'ancienne Pom'Lisse Nature;284447;150g;1902.jpg;Pom' lisse;0;C
25663;Chips à l'ancienne Pom'Lisse Nature;284447;270g;25663.jpg;Pom' lisse;0;C
15564;Chips paysannes Pom'lisse Nature;284447;150g;15564.jpg;Pom' lisse;0;C
2971;Chips ondulées Pom'Lisse Nature;284447;150g;2971.jpg;Pom' lisse;0;C
38868;Chips ondulées Pom'Lisse Poulet rôti;284447;135g;38868.jpg;Pom' lisse;0;C
23220;Chips Pom'Lisse Légumes;284447;100g;23220.jpg;Pom' lisse;0;D
92;Chips Pom'lisse Nature;284447;6x30g;92.jpg;Pom' lisse;0;B
3277;Chips à l'ancienne Pom'lisse Nature;284447;6x30g;3277.jpg;Pom' lisse;0;C
39480;Chips ondulées Pom'Lisse Nature;284447;6x30g;39480.jpg;Pom' lisse;0;C
23227;Chips Bio Village Nature;287063;125g;23227.jpg;Bio Village;1;C
45456;Chips Bio Village Nature;287063;6x30g;45456.jpg;Bio Village;1;C
42940;Chips Lay's Nature;284447;150g;42940.jpg;Lay's;0;C
151084;Chips Lays Barbecue;284447;135g;151084.jpg;Lay's;0;C
151085;Chips Lays Poulet Rôti;284447;135g;151085.jpg;Lay's;0;C
47252;Chips Lay's Sel/vinaigre;284447;130g;47252.jpg;Lay's;0;C
151086;Chips Lay's emmental;284447;135g;151086.jpg;Lay's;0;C
47772;Chips Lay's Cheeseburger;284447;120g;47772.jpg;Lay's;0;C
15184;Chips au four nature Lay's;284447;130g;15184.jpg;Lay's;0;B
47771;Chips Lay's Recette méditerranée;284447;130g;47771.jpg;Lay's;0;D
31037;Chips La classique Vico Nature;284447;270g;31037.jpg;Vico;0;C
39727;Chips La classique Vico Nature;284447;400g;39727.jpg;Vico;0;C
