ID;Prix;IDsupermarket;is_available
20138;1.09;1;1
20447;1.89;1;0
2973;0.98;1;1
1902;0.95;1;1
25663;1.7;1;1
15564;1.09;1;0
2971;0.96;1;1
38868;1.05;1;1
23220;1.99;1;1
92;1.42;1;0
3277;1.55;1;1
39480;1.52;1;1
23227;2.09;1;1
45456;2.89;1;1
42940;1.28;1;0
151084;1.14;1;0
151085;1.29;1;0
47252;1.65;1;1
151086;1.37;1;1
47772;1.8;1;1
15184;1.51;1;1
47771;1.85;1;1
31037;2.28;1;0
39727;3.33;1;1
145500;1.21;1;1
27458;3.11;1;1
39393;1.39;1;1
41601;2.22;1;1
180274;1.4;1;1
173315;1.36;1;1
204326;1.66;1;1
204324;1.68;1;1
204323;1.25;1;1
180275;1.15;1;1
39155;1.79;1;1
92834;2.17;1;1
43702;4.09;1;1
104188;2.56;1;1
133269;2.49;1;1
179935;2.49;1;0
179934;2.68;1;1
17105;1.26;1;1
18670;1.39;1;1
18671;1.39;1;1
122895;1.92;1;1
180041;2.15;1;1
122790;1.92;1;1
122792;1.68;1;1
186926;2.37;1;1
186920;2.44;1;1
30929;1.15;1;1
31139;1.35;1;1
29419;0.64;1;1
42992;0.99;1;1
30189;1.07;1;1
54492;1.68;1;1
62095;2.38;1;1
76501;2.42;1;1
47766;1.72;1;1
47767;1.63;1;1
47768;1.79;1;1
19291;1.74;1;1
45009;1.45;1;0
105;0.82;1;1
3862;1.35;1;1
59714;0.78;1;1
39522;0.86;1;1
23434;0.76;1;1
125218;0.6;1;1
8977;1.46;1;1
33594;1.16;1;1
26649;1.05;1;1
58444;1.57;1;0
26708;1.05;1;1
42846;4.1;1;1
2729;4.19;1;1
28211;1.99;1;1
47259;1.5;1;1
7438;4.82;1;1
37449;4.57;1;1
125223;2.8;1;1
68870;2.55;1;1
80221;4.55;1;1
51051;3.41;1;1
28209;1.6;1;1
26319;1.8;1;1
62753;2.6;1;1
104121;4.38;1;0
32058;2.57;1;1
6362;1.15;1;1
32125;1.39;1;1
104;1.78;1;1
33305;1.35;1;1
3756;1.37;1;1
54860;2.84;1;1
19471;2.33;1;0
15721;1.91;1;1
31178;2.21;1;1
180413;2.96;1;1
20288;0.3;1;1
13696;0.41;1;1
5633;0.75;1;1
206116;0.91;1;1
3748;0.66;1;1
44039;0.89;1;1
44040;0.79;1;1
6834;0.58;1;1
30212;0.94;1;1
30213;1.81;1;1
9087;1.27;1;1
