id;code;brand;name;quantity;price;category;supermarket;city;zip
3;3021690029093;ZAPETTI;Ravioli Pur boeuf Boite;800g ;2.52;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
4;3021690029093;ZAPETTI;Ravioli Pur boeuf Boite;800g ;2.47;EPICERIE;CORA;MASSY;91300
5;3021690101232;RAYNAL & ROQUELAURE;Cassoulet toulousain cuisine Porc Graisse d'oie Boite;840g ;3.77;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
6;3021690101232;RAYNAL & ROQUELAURE;Cassoulet toulousain cuisine Porc Graisse d'oie Boite;840g ;4.35;EPICERIE;CORA;MASSY;91300
7;3038352880206;PANZANI;Ravioli Pur boeuf Boite;400g ;1.57;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
8;3038352880206;PANZANI;Ravioli Pur boeuf Boite;400g ;1.54;EPICERIE;CORA;MASSY;91300
12;3038352881005;PANZANI;Ravioli Bolognaise Boite;800g ;3.52;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
13;3038352881005;PANZANI;Ravioli Bolognaise Boite;800g ;3.46;EPICERIE;CORA;MASSY;91300
16;3038353912203;PETITJEAN;Quenelle financiere Veau Boite 6's;400g ;2.03;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
17;3038353912203;PETITJEAN;Quenelle financiere Veau Boite 6's;400g ;2.04;EPICERIE;CORA;MASSY;91300
20;3038356803584;WILLIAM SAURIN;Hachis parmentier de boeuf Barquette Micro-onde;300g ;2.85;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
21;3038356803584;WILLIAM SAURIN;Hachis parmentier de boeuf Barquette Micro-onde;300g ;2.83;EPICERIE;CORA;MASSY;91300
23;3049580530177;WILLIAM SAURIN;Choucroute garnie Porc Boite;800g ;3.49;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
24;3049580530177;WILLIAM SAURIN;Choucroute garnie Porc Boite;800g ;3.50;EPICERIE;CORA;MASSY;91300
27;3049580543405;WILLIAM SAURIN 1898;Petit sale & lentilles Porc Boite;420g ;2.82;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
28;3049580543405;WILLIAM SAURIN 1898;Petit sale & lentilles Porc Boite;420g ;2.93;EPICERIE;CORA;MASSY;91300
29;3049580543450;WILLIAM SAURIN 1898;Petit sale & lentilles Porc Boite;840g ;5.49;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
30;3049580543450;WILLIAM SAURIN 1898;Petit sale & lentilles Porc Boite;840g ;5.59;EPICERIE;CORA;MASSY;91300
31;3049580545560;WILLIAM SAURIN;Saucisses & lentilles Porc Boite;420g ;1.91;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
32;3049580545560;WILLIAM SAURIN;Saucisses & lentilles Porc Boite;420g ;1.90;EPICERIE;CORA;MASSY;91300
37;3083680973939;CASSEGRAIN;Ratatouille cuisinee provencale Boite;660g 750ml ;3.69;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
38;3083680973939;CASSEGRAIN;Ratatouille cuisinee provencale Boite;660g 750ml ;3.60;EPICERIE;CORA;MASSY;91300
39;3083681001808;CASSEGRAIN;Haricots coco & tomate & laurier & sauge Boite;435g 425ml ;1.93;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
40;3083681001808;CASSEGRAIN;Haricots coco & tomate & laurier & sauge Boite;435g 425ml ;1.91;EPICERIE;CORA;MASSY;91300
41;3083681017809;CASSEGRAIN;Courgettes cuisinees & provencale Boite;185g ;2.34;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
42;3083681017809;CASSEGRAIN;Courgettes cuisinees & provencale Boite;185g ;2.38;EPICERIE;CORA;MASSY;91300
45;3083681093926;CASSEGRAIN;Aubergines cuisinees provencale & huile d'olive Boite;375g ;3.19;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
46;3083681093926;CASSEGRAIN;Aubergines cuisinees provencale & huile d'olive Boite;375g ;3.08;EPICERIE;CORA;MASSY;91300
47;3083681094459;CASSEGRAIN;Courgettes cuisinees & provencale & huile d'olive vierge extra Boite;375g ;3.15;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
48;3083681094459;CASSEGRAIN;Courgettes cuisinees & provencale & huile d'olive vierge extra Boite;375g ;3.09;EPICERIE;CORA;MASSY;91300
49;3083681095296;CASSEGRAIN;Ratatouille cuisinee a la provencale huile d'olive vierge ex Boite;380g ;3.18;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
50;3083681095296;CASSEGRAIN;Ratatouille cuisinee a la provencale huile d'olive vierge ex Boite;380g ;2.94;EPICERIE;CORA;MASSY;91300
52;3175681170872;CEREAL BIO;Riz & cuisine lentilles & soja BIO Doypack;250g ;2.64;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
53;3175681170872;CEREAL BIO;Riz & cuisine lentilles & soja BIO Doypack;250g ;2.26;EPICERIE;CORA;MASSY;91300
54;3188720001624;LA CUISINE D'OCEANE;Filet mignon de porc & ecrase de pomme de terre Barquette Micro-onde;300g ;3.15;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
55;3188720001624;LA CUISINE D'OCEANE;Filet mignon de porc & ecrase de pomme de terre Barquette Micro-onde;300g ;3.16;EPICERIE;CORA;MASSY;91300
56;3188720001679;LA CUISINE D'OCEANE;Saucisse grille & puree de pomme de terre Barquette Micro-onde;300g ;2.95;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
57;3188720001679;LA CUISINE D'OCEANE;Saucisse grille & puree de pomme de terre Barquette Micro-onde;300g ;2.91;EPICERIE;CORA;MASSY;91300
59;3188720002454;LA CUISINE D'OCEANE;Steak hache charolais & puree emmental Barquette Micro-onde;300g ;3.36;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
60;3188720002454;LA CUISINE D'OCEANE;Steak hache charolais & puree emmental Barquette Micro-onde;300g ;3.24;EPICERIE;CORA;MASSY;91300
62;3229820181363;TANOSHI JAPON;Nouilles japonaise precuite assaisonnement & soja & caramel Sachet;360g ;3.45;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
63;3229820181363;TANOSHI JAPON;Nouilles japonaise precuite assaisonnement & soja & caramel Sachet;360g ;3.33;EPICERIE;CORA;MASSY;91300
